"Name","HH","MM","SS","mS","Twr2_Box_H","Twr2_Box_T","Twr2_Box_RHT_status","Twr2_PC_H","Twr2_PC_T","Twr2_PC_RHT_status","Twr2_80m_U","Twr2_80m_V","Twr2_80m_W","Twr2_80m_T","Twr2_80m_st_code","Twr2_80m_status","Twr2_80m_WS_hor","Twr2_80m_WD_hor","Twr2_80m_WS_vec","Twr2_80m_WD_inc","Twr2_60m_U","Twr2_60m_V","Twr2_60m_W","Twr2_60m_T","Twr2_60m_st_code","Twr2_60m_status","Twr2_60m_WS_hor","Twr2_60m_WD_hor","Twr2_60m_WS_vec","Twr2_60m_WD_inc","Twr2_40m_U","Twr2_40m_V","Twr2_40m_W","Twr2_40m_T","Twr2_40m_st_code","Twr2_40m_status","Twr2_40m_WS_hor","Twr2_40m_WD_hor","Twr2_40m_WS_vec","Twr2_40m_WD_inc","Twr2_20m_U","Twr2_20m_V","Twr2_20m_W","Twr2_20m_T","Twr2_20m_st_code","Twr2_20m_status","Twr2_20m_WS_hor","Twr2_20m_WD_hor","Twr2_20m_WS_vec","Twr2_20m_WD_inc","Twr2_10m_U","Twr2_10m_V","Twr2_10m_W","Twr2_10m_T","Twr2_10m_st_code","Twr2_10m_status","Twr2_10m_WS_hor","Twr2_10m_WD_hor","Twr2_10m_WS_vec","Twr2_10m_WD_inc","Twr3_Box_H","Twr3_Box_T","Twr3_Box_RHT_status","Twr3_80m_U","Twr3_80m_V","Twr3_80m_W","Twr3_80m_T","Twr3_80m_st_code","Twr3_80m_status","Twr3_80m_WS_hor","Twr3_80m_WD_hor","Twr3_80m_WS_vec","Twr3_80m_WD_inc","Twr3_60m_U","Twr3_60m_V","Twr3_60m_W","Twr3_60m_T","Twr3_60m_st_code","Twr3_60m_status","Twr3_60m_WS_hor","Twr3_60m_WD_hor","Twr3_60m_WS_vec","Twr3_60m_WD_inc","Twr3_40m_U","Twr3_40m_V","Twr3_40m_W","Twr3_40m_T","Twr3_40m_st_code","Twr3_40m_status","Twr3_40m_WS_hor","Twr3_40m_WD_hor","Twr3_40m_WS_vec","Twr3_40m_WD_inc","Twr3_20m_U","Twr3_20m_V","Twr3_20m_W","Twr3_20m_T","Twr3_20m_st_code","Twr3_20m_status","Twr3_20m_WS_hor","Twr3_20m_WD_hor","Twr3_20m_WS_vec","Twr3_20m_WD_inc","Twr3_10m_U","Twr3_10m_V","Twr3_10m_W","Twr3_10m_T","Twr3_10m_st_code","Twr3_10m_status","Twr3_10m_WS_hor","Twr3_10m_WD_hor","Twr3_10m_WS_vec","Twr3_10m_WD_inc","Twr6_Box_H","Twr6_Box_T","Twr6_Box_RHT_status","Twr6_60m_SX","Twr6_60m_SY","Twr6_60m_SZ","Twr6_60m_St","Twr6_60m_status","Twr6_60m_WS_hor","Twr6_60m_WD_hor","Twr6_60m_WS_vec","Twr6_60m_WD_inc","Twr6_40m_SX","Twr6_40m_SY","Twr6_40m_SZ","Twr6_40m_St","Twr6_40m_status","Twr6_40m_WS_hor","Twr6_40m_WD_hor","Twr6_40m_WS_vec","Twr6_40m_WD_inc","Twr6_20m_SX","Twr6_20m_SY","Twr6_20m_SZ","Twr6_20m_St","Twr6_20m_status","Twr6_20m_WS_hor","Twr6_20m_WD_hor","Twr6_20m_WS_vec","Twr6_20m_WD_inc","Twr6_10m_SX","Twr6_10m_SY","Twr6_10m_SZ","Twr6_10m_St","Twr6_10m_status","Twr6_10m_WS_hor","Twr6_10m_WD_hor","Twr6_10m_WS_vec","Twr6_10m_WD_inc","Twr7_Box_H","Twr7_Box_T","Twr7_Box_RHT_status","Twr7_80m_U","Twr7_80m_V","Twr7_80m_W","Twr7_80m_T","Twr7_80m_st_code","Twr7_80m_status","Twr7_80m_WS_hor","Twr7_80m_WD_hor","Twr7_80m_WS_vec","Twr7_80m_WD_inc","Twr7_60m_U","Twr7_60m_V","Twr7_60m_W","Twr7_60m_T","Twr7_60m_st_code","Twr7_60m_status","Twr7_60m_WS_hor","Twr7_60m_WD_hor","Twr7_60m_WS_vec","Twr7_60m_WD_inc","Twr7_40m_U","Twr7_40m_V","Twr7_40m_W","Twr7_40m_T","Twr7_40m_st_code","Twr7_40m_status","Twr7_40m_WS_hor","Twr7_40m_WD_hor","Twr7_40m_WS_vec","Twr7_40m_WD_inc","Twr7_20m_U","Twr7_20m_V","Twr7_20m_W","Twr7_20m_T","Twr7_20m_st_code","Twr7_20m_status","Twr7_20m_WS_hor","Twr7_20m_WD_hor","Twr7_20m_WS_vec","Twr7_20m_WD_inc","Twr7_10m_U","Twr7_10m_V","Twr7_10m_W","Twr7_10m_T","Twr7_10m_st_code","Twr7_10m_status","Twr7_10m_WS_hor","Twr7_10m_WD_hor","Twr7_10m_WS_vec","Twr7_10m_WD_inc"
201903220950,9.01046,53.9768,29.5,33010.8,35.8479,11.7415,3.82667,43.0129,16.1519,3.83296,-2.35626,1.27328,-0.0871843,7.3086,0,0.111944,2.71448,100.237,2.73179,-1.39352,-1.56725,0.69224,0.00626296,5.43196,0,0.111852,1.8276,97.1257,1.87215,1.88491,-1.01154,0.277193,-0.0225028,5.91095,0,0.111852,1.1719,83.4772,1.24002,3.02765,-0.758143,-0.021837,0.00522685,6.20515,0,0.111852,0.912858,69.5833,0.986611,3.9004,-0.733363,-0.22062,-0.024863,8.73685,0,0.111852,0.876591,59.4704,0.932195,-0.769033,46.838,12.4941,3.82741,0.930406,-0.353784,0.00960648,4.02456,0,0.133611,1.04045,311.865,1.0611,1.63477,0.969959,-0.066763,-0.0959269,3.73741,0,0.128148,1.02337,293.707,1.07515,-4.60706,0.93814,0.204861,-0.0092713,5.59967,0,0.130833,1.02231,277.203,1.07957,-3.11846,1.0072,0.517584,0.143373,6.34071,0,0.131296,1.1775,269.299,1.24045,5.95818,0.87595,0.721684,0.189804,6.62983,0,0.133611,1.18906,262.009,1.24133,8.32538,36.139,12.2635,3.82556,0.551062,0.923669,0.048462,6.01965,0.188056,1.14644,136.507,1.17753,6.70494,0.864847,0.418968,-0.0331713,6.38282,0.195556,1.05094,102.052,1.09463,-0.891665,0.850929,-0.0864546,0.091188,6.23321,0.186574,0.92431,76.6175,0.999806,5.06987,0.769236,-0.349242,0.147107,6.92101,0.184815,0.902768,58.3232,0.989767,9.99551,43.5228,10.1808,3.82222,-1.25601,1.48691,-0.073813,6.65369,0,0.111852,2.05394,132.47,2.12209,-1.52635,-0.846217,0.906196,-0.101488,6.05757,0,0.111944,1.36264,132.921,1.44676,-2.80323,-0.58467,0.483763,-0.0344028,4.88297,0,0.111852,0.872638,121.821,0.967288,-0.532764,-0.679281,0.0452741,0.034037,5.51937,0,0.111852,0.82518,91.1113,0.909483,3.50387,-0.810405,-0.0107167,0.0440685,4.83855,0,0.111852,0.915219,87.2685,0.981814,3.81636
201903220940,9,44.6046,29.5,32841.1,35.9084,11.2189,3.82593,43.7711,15.643,3.83259,-2.23013,1.1399,-0.11831,6.58419,0,0.111852,2.52027,98.5238,2.54018,-2.72658,-1.53695,0.746724,-0.119531,4.88816,0,0.111852,1.74623,100.098,1.77926,-3.20816,-1.18989,0.200521,-0.0674833,5.5325,0,0.111852,1.28012,82.2298,1.31897,-1.9887,-0.979897,-0.441242,-0.0281056,5.56827,0,0.111852,1.14072,57.392,1.19223,-0.963768,-0.877171,-0.486819,0.0181102,8.2945,0,0.111852,1.08648,57.7268,1.12766,1.7575,47.5759,12.0503,3.82741,0.761905,-0.325603,0.0237611,3.89073,0,0.168796,0.897481,318.133,0.940205,0.0640106,1.0701,-0.0948732,-0.0571065,3.29193,0,0.17287,1.13179,297.458,1.18123,-2.33497,1.07132,0.25156,-0.00704352,5.25536,0,0.1775,1.19503,278.868,1.25517,-0.642723,1.14181,0.507179,0.0826685,6.62228,0,0.180741,1.315,273.309,1.36117,3.37721,1.04947,0.654844,0.160667,6.08412,0,0.175278,1.29486,269.451,1.34557,7.2176,36.2417,11.9138,3.82722,-0.16765,0.65666,-0.0703583,6.95716,0.391667,0.785452,180.264,0.810855,-4.50886,0.550918,0.881507,-0.0720315,6.76397,0.386667,1.11027,133.174,1.13769,-4.56891,0.884234,0.281657,0.00756019,6.19417,0.386019,0.989096,99.126,1.02737,0.862856,0.79335,-0.206301,0.119836,6.75826,0.383889,0.9156,68.3066,0.990371,8.35836,43.6179,9.58286,3.82148,-1.31837,1.67106,0.168419,6.14731,0,0.112315,2.16088,131.607,2.18983,5.26671,-0.746391,0.736108,0.0496565,5.05184,0,0.112222,1.15618,122.945,1.20127,4.28448,-0.504282,-0.0271463,-0.0101639,3.9965,0,0.112315,0.771877,79.4066,0.867198,-4.13632,-0.366524,-0.43176,-0.0545917,4.88541,0,0.112778,0.898839,42.7771,0.993585,-5.01783,-0.435643,-0.635194,-0.0445806,3.97897,0,0.112315,1.04598,42.6348,1.10993,-2.57201
201903220930,9,34.6046,29.5,32665.4,35.956,10.7835,3.82556,43.5377,15.4533,3.83222,-2.21131,1.16453,-0.147205,6.24081,0,0.111944,2.51253,99.162,2.53256,-3.42667,-1.72742,0.763076,-0.133331,4.67087,0,0.111852,1.92436,97.1517,1.96697,-2.29078,-1.22714,0.217403,0.00862315,5.31746,0,0.111852,1.28561,82.3532,1.3462,3.13778,-1.05844,-0.41998,0.0535074,5.13644,0,0.111852,1.17566,59.3401,1.23962,4.16058,-0.991626,-0.659141,0.00212593,7.81956,0,0.111852,1.2361,52.2675,1.27153,0.989078,47.9933,11.6209,3.82704,0.287579,-0.376842,0.00823611,2.74778,0,0.148426,0.565349,341.062,0.589869,4.38514,0.811748,-0.348595,-0.0990796,2.6316,0,0.156759,0.942999,314.186,0.986712,-4.83405,0.907555,0.0366407,-0.0470435,4.58205,0,0.154444,0.967885,289.363,1.02138,-3.27693,0.854368,0.436199,0.0597018,5.67458,0,0.149815,1.04292,271.626,1.1042,3.43923,0.864914,0.539057,0.114146,5.56835,0,0.158148,1.1169,271.763,1.17109,5.90205,36.2942,11.5318,3.82407,-0.260343,0.188141,0.0384444,6.06461,0.238333,0.457919,207.689,0.521831,6.63506,-0.0656722,0.646206,-0.0161806,6.21561,0.235833,0.671742,171.885,0.709467,2.62472,0.53337,0.444698,-0.0609759,5.89257,0.231482,0.778615,122.606,0.842954,-4.45792,0.682008,0.0538694,0.0302833,6.37752,0.231944,0.796429,89.3261,0.878077,2.12772,43.8553,8.99578,3.82111,-2.06055,2.04202,0.219114,6.43189,0,0.112407,2.92592,124.609,2.94572,4.46382,-1.57704,1.26776,0.0568,5.42111,0,0.112407,2.0847,122.149,2.11716,1.81874,-1.07899,0.503789,-0.0264889,4.2081,0,0.111852,1.32422,108.715,1.37309,0.830659,-0.779609,-0.423141,-0.0668324,4.29726,0,0.111852,0.997486,61.4342,1.05068,-3.34848,-0.623604,-0.548624,-0.0671167,3.30327,0,0.112407,0.886795,47.5064,0.940134,-4.26743
201903220920,9,24.6046,29.5,32489.7,36.0715,10.2658,3.82519,43.9854,15.1771,3.83222,-1.91361,0.801593,-0.0865352,5.65219,0,0.111852,2.12146,93.1149,2.1712,-2.02264,-1.43071,0.368966,-0.124819,4.11246,0,0.111944,1.54444,86.8747,1.59985,-4.5075,-1.16064,-0.0916426,-0.0889806,4.81762,0,0.111852,1.24855,68.8458,1.31515,-3.6133,-0.732752,-0.708507,-0.0299935,4.70009,0,0.111852,1.13393,34.5785,1.17666,-1.16421,-0.646954,-0.845951,0.0040537,7.42713,0,0.111852,1.12153,31.4741,1.16495,1.26699,48.447,11.1278,3.8263,-0.103869,-0.0943889,0.0139157,2.73773,0,0.119815,0.290586,65.517,0.315604,4.34185,0.446129,-0.153049,0.0042463,3.6025,0,0.119815,0.503284,311.76,0.527793,0.557092,0.826434,-0.0677343,0.0775704,4.6195,0,0.116944,0.931086,297.818,0.971853,3.95462,0.809782,0.379598,0.170622,4.89336,0,0.117407,0.962208,276.008,1.02933,10.1302,0.796713,0.464141,0.193093,5.37119,0,0.116018,1.0024,273.561,1.0726,10.898,36.2463,11.2073,3.82407,-0.31558,-0.0498296,-0.0213787,5.57156,0.156111,0.480603,253.69,0.54527,-1.78171,-0.202575,-0.0865296,-0.0187176,6.0834,0.15537,0.441992,277.74,0.516629,-1.87511,0.161258,0.0938611,-0.0442389,5.85767,0.155556,0.416697,107.608,0.487217,-6.58445,0.382774,-0.130068,-0.00457963,6.18335,0.151852,0.564799,58.1296,0.626243,-4.68241,44.1734,8.31426,3.82074,-1.84503,1.82682,0.134801,5.54629,0,0.111852,2.61468,124.262,2.62322,3.09126,-1.34441,1.12351,0.0816167,4.45555,0,0.111852,1.78215,122.72,1.79667,3.02313,-0.586582,0.187623,0.0714213,2.82768,0,0.111852,0.798903,94.3272,0.837772,4.85146,-0.182862,-0.38021,0.0367907,3.34588,0,0.111852,0.6286,24.2325,0.6851,3.46426,-0.129533,-0.489807,0.0406278,2.55523,0,0.111852,0.647371,11.5366,0.700135,3.15837
201903220910,9,14.6046,29.5,32320.1,36.7158,9.62207,3.82482,45.078,14.5218,3.83185,-2.23777,0.560568,0.299645,5.22985,0,0.111944,2.36635,84.7097,2.41916,7.29286,-1.61225,0.401811,0.163964,3.76108,0,0.111852,1.7196,86.2577,1.77249,5.71182,-0.969357,0.255406,0.156051,4.46551,0,0.111852,1.10643,83.1728,1.19607,12.16,-0.579245,-0.289235,0.0938352,4.21919,0,0.111944,0.794622,49.5851,0.859442,9.12268,-0.406941,-0.34498,0.131291,6.75479,0,0.111852,0.677873,44.176,0.740879,12.244,48.7772,10.6366,3.8263,0.525769,-0.0708222,0.0095963,3.39961,0,0.125278,0.571076,302.924,0.588875,-0.411111,0.503196,-0.435737,-0.0693555,2.51327,0,0.124815,0.69667,331.418,0.71463,-4.12927,0.785755,-0.0842509,-0.139348,4.31436,0,0.122037,0.84876,297.522,0.884621,-9.18427,0.677026,0.356896,-0.0301972,4.46516,0,0.128519,0.810247,271.975,0.858423,-3.04929,0.552273,0.493689,0.0950056,4.30726,0,0.128519,0.774194,262.112,0.830768,3.87317,36.5236,10.8191,3.8237,-0.447119,-0.580904,-0.0537491,5.31874,0.166389,0.836884,303.812,0.867423,-5.48603,-0.136434,-0.361727,-0.0643398,5.82373,0.1625,0.534958,315.898,0.583404,-4.23494,-0.0760148,-0.13569,-0.0496417,5.23881,0.161296,0.334416,314.76,0.392357,-8.50192,0.0274222,-0.0029787,-0.0262139,5.76893,0.158426,0.323287,239.321,0.40113,-4.20547,44.624,7.6922,3.82,-1.91212,1.26306,0.24119,5.18126,0,0.111944,2.29781,113.066,2.31612,6.08277,-1.50955,0.81843,0.19352,4.35368,0,0.111852,1.73234,111.872,1.75111,6.67754,-0.760294,0.00747593,0.0894815,2.78249,0,0.111852,0.875827,84.875,0.915887,5.34663,-0.47169,-0.67392,0.0515944,2.81696,0,0.111852,0.935306,35.3932,0.978249,1.61711,-0.450422,-0.768594,0.0171732,2.0694,0,0.111852,0.973043,30.649,1.00308,-0.930066
201903220900,9,4.60463,29.5,33121.4,37.4629,8.9833,3.82407,45.9777,13.7881,3.83111,-2.71046,1.05481,0.0438954,5.00874,0,0.111852,2.9302,92.523,2.94966,1.53112,-1.94717,0.786279,-0.00272222,3.51602,0,0.111852,2.14385,95.7135,2.16979,0.893359,-1.16062,0.579631,-0.0276722,4.06917,0,0.111852,1.38531,97.3522,1.43021,-0.392219,-0.787003,-0.160711,-0.0155537,3.35258,0,0.111852,0.88589,69.1304,0.941653,2.01555,-0.554103,-0.316917,0.0449602,5.64881,0,0.111852,0.71428,56.6661,0.763273,3.14379,50.05,9.98436,3.82556,0.236962,-0.0852157,0.012338,3.93411,0,0.137315,0.28466,319.682,0.297985,1.51783,0.165866,-0.0576222,0.00765648,2.11498,0,0.134074,0.268627,335.848,0.296315,2.53902,0.120999,0.0129981,0.0268306,3.57436,0,0.130833,0.3234,273.665,0.365729,6.09578,0.373321,0.231779,0.127827,4.45601,0,0.131759,0.558107,268.672,0.618959,10.6527,0.471302,0.363673,0.150893,3.32708,0,0.13787,0.663326,268.082,0.731648,9.50515,36.7033,10.4367,3.82296,-0.66922,-0.509369,-0.0347222,5.41348,0.186574,0.887138,289.546,0.906151,-0.800015,-0.184668,-0.201157,0.00624722,6.05195,0.192037,0.445415,284.085,0.497276,4.34224,0.0400926,-0.346015,0.0916306,5.28987,0.194167,0.475505,348.909,0.557536,2.27072,-0.0074213,-0.329389,0.000119444,5.46137,0.196667,0.611387,338.969,0.654742,-3.27238,45.2248,7.0664,3.81963,-1.22111,0.879193,0.161309,4.53461,0,0.111852,1.51276,115.139,1.52831,6.08434,-1.50673,1.02528,0.220542,4.21135,0,0.111852,1.83638,117.077,1.85276,6.73278,-1.09551,0.572247,0.125383,2.73823,0,0.111852,1.26247,112.979,1.28705,6.90567,-0.478582,-0.284246,0.0124046,2.25824,0,0.111852,0.606523,57.3648,0.64198,2.46731,-0.364254,-0.387116,-0.0207713,1.30947,0,0.111852,0.567524,40.4436,0.608541,-2.89472
201903220850,8.01046,53.9768,29.5,33085.2,37.5388,8.4437,3.82407,46.8203,13.1771,3.83037,-3.01308,1.22254,0.100891,4.72252,0,0.111944,3.26403,94.0334,3.2781,2.07328,-2.1468,0.882737,0.0723972,3.08794,0,0.111944,2.3457,96.3523,2.36427,2.42749,-1.47092,0.52774,0.0225843,3.65111,0,0.111852,1.63362,91.4223,1.66017,1.54059,-0.916864,-0.384666,-0.0858287,2.80716,0,0.111852,1.07968,56.4568,1.1116,-3.61767,-0.679508,-0.610537,-0.0502815,5.06743,0,0.111852,0.963042,43.1185,0.995049,-2.35353,50.4546,9.37148,3.82482,0.0573222,-0.105185,0.00456482,3.70973,0,0.123889,0.445842,0.1375,0.461735,2.94153,0.0347824,-0.380449,-0.00919907,2.4906,0,0.129444,0.545798,8.80743,0.556331,-0.210981,0.289215,-0.108229,-0.0130972,3.54752,0,0.126204,0.498326,310.916,0.518899,-1.3136,0.615633,0.157596,0.0208787,3.53626,0,0.128519,0.696756,284.542,0.733405,1.64059,0.545714,0.204982,0.0825537,3.16495,0,0.124815,0.684519,286.843,0.737094,5.73114,37.0477,9.99463,3.82296,-0.571909,-0.314988,-0.00240741,5.34551,0.178704,0.683115,279.941,0.703386,0.533748,-0.0850741,-0.0880556,0.00726111,6.12578,0.175833,0.313094,269.784,0.360231,2.87922,-0.0536046,0.0167778,-0.0333185,5.33146,0.183889,0.412573,183.973,0.446476,-6.41389,-0.297583,-0.223106,0.00561019,5.48585,0.169815,0.499884,298.777,0.540903,2.63215,45.7364,6.54117,3.81889,-1.2014,0.670253,0.133752,4.47086,0,0.111852,1.39578,108.076,1.41359,5.67414,-1.42482,0.805072,0.128981,3.63761,0,0.111852,1.64618,113.198,1.65759,4.75447,-0.907834,-0.0180324,0.00852315,2.1696,0,0.111852,0.948993,82.2372,0.963667,1.56422,-0.55093,-0.729301,0.0207778,1.74665,0,0.111852,0.944429,33.6117,0.96733,1.11672,-0.645271,-0.660787,0.0430611,0.81455,0,0.111852,0.95243,41.654,0.988656,3.25941
201903220840,8,44.6046,29.5,32915.6,37.6048,7.97151,3.82333,47.7034,12.7725,3.83037,-3.11828,1.19289,0.230055,4.57958,0,0.111944,3.36,92.5596,3.38312,4.17221,-2.2988,0.847259,0.203432,3.05509,0,0.111852,2.48495,94.2475,2.51151,5.52452,-1.41309,0.281597,0.117036,3.37659,0,0.111852,1.47423,82.6813,1.49469,4.90203,-0.976537,-0.607342,0.0336,2.43407,0,0.111852,1.18409,49.6709,1.20169,2.42636,-0.741014,-0.780866,-0.0122148,4.44935,0,0.111852,1.10936,37.3145,1.12584,-0.625581,51.4475,8.70234,3.82482,0.632505,-0.313803,-0.0457926,3.79822,0,0.13213,0.719009,320.338,0.731747,-4.17936,-0.0602083,-0.246732,0.00451759,2.68683,0,0.134444,0.379101,39.1322,0.401966,-0.22513,0.667898,0.00663426,-0.0475694,4.47605,0,0.131204,0.783153,298.607,0.812281,-0.805834,0.943775,0.100789,-0.0271398,3.24536,0,0.1325,0.973988,291.939,0.9887,-1.26692,0.899626,0.0994426,-0.0310731,3.09224,0,0.130093,0.927333,295.862,0.944577,-1.67145,37.2347,9.55997,3.82278,-0.418795,-0.292016,-0.0239111,5.14041,0.176759,0.556701,283.387,0.569939,-2.21031,-0.0418583,0.251998,-0.0532167,5.76652,0.183704,0.413368,172.242,0.447566,-9.18503,0.14109,0.114662,-0.108638,4.9009,0.188148,0.517028,132.546,0.557316,-12.8637,-0.0537463,-0.165824,-0.0211778,4.96062,0.18,0.365176,323.215,0.422807,-2.86681,46.1007,6.11368,3.81889,-1.56509,1.02611,0.139535,4.76581,0,0.111852,1.89123,111.72,1.9039,4.25245,-1.45161,0.914818,0.0874426,3.62604,0,0.111852,1.74977,114.505,1.76255,3.24927,-1.04352,-0.356081,0.0147287,2.20494,0,0.111852,1.16953,67.2265,1.18499,0.830239,-0.831163,-1.2087,-0.0123296,1.54043,0,0.111852,1.49343,31.2933,1.51042,-0.607955,-1.03517,-0.936535,-0.00593056,0.396133,0,0.111852,1.42357,45.1268,1.44226,-0.280525
201903220830,8,34.6046,29.5,32739.9,38.0057,7.52014,3.82296,48.8113,12.1217,3.82963,-2.78984,0.886154,0.218114,4.18107,0,0.111852,2.94502,89.3499,2.96564,4.30473,-2.06493,0.595307,0.141333,2.74734,0,0.111852,2.16592,90.5627,2.18179,3.65095,-1.61745,0.347555,0.0624704,3.45742,0,0.111944,1.67544,84.0899,1.68895,2.34864,-0.806272,-0.417803,-0.00228426,2.12346,0,0.111852,0.981521,52.5165,1.00519,0.660971,-0.391311,-0.576326,0.0249194,3.87611,0,0.111852,0.770307,29.1647,0.796781,2.47809,52.4149,8.04534,3.82407,0.705081,-0.386716,-0.0208676,3.27567,0,0.153056,0.837055,325.38,0.847923,-1.80774,0.711331,-0.174953,-0.108989,3.17898,0,0.15213,0.896775,321.544,0.91098,-7.0268,1.25276,-0.0843472,-0.137778,4.51358,0,0.158148,1.2611,295.738,1.27598,-6.64211,1.35172,0.0268833,-0.0578019,3.44003,0,0.154444,1.36704,297.878,1.37244,-2.72205,1.24939,-0.1841,-0.083563,3.27188,0,0.156296,1.28991,311.535,1.30066,-3.73782,37.639,9.06292,3.8263,0.175422,0.265559,-0.0668991,4.52305,0.284259,0.410386,146.411,0.431088,-8.63949,0.630997,0.500637,-0.087537,5.20656,0.271389,0.832209,113.377,0.841587,-6.13651,0.226872,0.123732,-0.0726296,4.58226,0.271667,0.459504,91.9386,0.487893,-3.44418,-0.230282,-0.193203,0.0101361,4.79512,0.278704,0.38956,299.486,0.404685,0.400186,46.169,5.86024,3.81852,-1.4549,1.12628,0.0355296,4.69139,0,0.111852,1.86037,115.782,1.87482,0.0976911,-1.33044,0.864746,-0.0286963,3.36102,0,0.112407,1.61303,116.733,1.62994,-0.608581,-0.703637,0.0894611,-0.0303713,1.99786,0,0.112315,0.747912,93.501,0.766831,-1.35712,-1.08129,-0.998457,-0.00440278,1.40648,0,0.112407,1.50267,44.5004,1.50868,-0.11048,-1.34701,-0.607021,-0.0306009,0.0897917,0,0.112315,1.49168,63.4482,1.50258,-0.86765
201903220820,8,24.6046,29.5,32564.1,38.6774,7.08159,3.82296,50.5102,11.2079,3.82926,-2.98457,0.582623,0.242267,4.17844,0,0.111944,3.06005,82.3728,3.08418,4.76172,-2.11147,0.439806,0.219921,2.75869,0,0.111944,2.17739,85.6864,2.20423,6.06443,-1.62255,0.418002,0.197882,3.50354,0,0.111852,1.69455,87.418,1.72552,6.54341,-0.977021,0.0310167,0.112539,2.19954,0,0.111852,1.04904,85.2164,1.0853,9.71536,-0.492478,-0.192698,0.0527889,3.63631,0,0.111944,0.604187,76.1907,0.630483,10.732,53.5832,7.49272,3.8237,1.30392,-0.257404,-0.0414861,3.61577,0,0.148056,1.33665,304.94,1.34071,-1.67754,1.27024,-0.127419,-0.0866278,2.62647,0,0.135926,1.28569,298.86,1.29298,-3.73583,1.57156,-0.205114,-0.161618,4.27994,0,0.157222,1.5949,300.043,1.60641,-5.70694,1.63029,-0.068363,-0.143538,3.43137,0,0.139167,1.64334,300.503,1.6538,-4.86583,1.4449,-0.258835,-0.118204,3.1894,0,0.150278,1.47867,311.904,1.4879,-4.43367,38.2612,8.60705,3.82185,0.3575,0.327654,-0.0540426,4.42695,0.246389,0.528882,114.89,0.538413,-5.72141,0.779969,0.516737,-0.0708815,5.18078,0.233518,0.962869,108.32,0.970009,-4.2218,0.42187,0.175072,-0.100972,4.6314,0.235648,0.718257,107.084,0.746511,-9.40283,0.0212518,-0.0000231481,-0.00798889,4.91841,0.228519,0.347538,138.787,0.375217,-3.21886,46.2265,5.59757,3.81815,-0.835011,0.325956,0.0877232,4.29871,0,0.112315,1.1224,83.5399,1.16216,2.91039,-0.955915,0.746789,0.0320528,3.17004,0,0.112315,1.25333,120.956,1.31118,0.325565,-0.606654,0.0449704,-0.0161806,1.96869,0,0.112407,0.863918,76.5253,0.909777,1.2776,-0.946117,-0.642794,0.00279074,1.46207,0,0.112315,1.18777,55.8882,1.19577,-0.512948,-1.33377,-0.589815,-0.0244185,-0.191657,0,0.112407,1.49461,63.924,1.50127,-1.06842
