"Name","HH","MM","SS","mS","Twr2_Box_H","Twr2_Box_T","Twr2_Box_RHT_status","Twr2_PC_H","Twr2_PC_T","Twr2_PC_RHT_status","Twr2_80m_U","Twr2_80m_V","Twr2_80m_W","Twr2_80m_T","Twr2_80m_st_code","Twr2_80m_status","Twr2_80m_WS_hor","Twr2_80m_WD_hor","Twr2_80m_WS_vec","Twr2_80m_WD_inc","Twr2_60m_U","Twr2_60m_V","Twr2_60m_W","Twr2_60m_T","Twr2_60m_st_code","Twr2_60m_status","Twr2_60m_WS_hor","Twr2_60m_WD_hor","Twr2_60m_WS_vec","Twr2_60m_WD_inc","Twr2_40m_U","Twr2_40m_V","Twr2_40m_W","Twr2_40m_T","Twr2_40m_st_code","Twr2_40m_status","Twr2_40m_WS_hor","Twr2_40m_WD_hor","Twr2_40m_WS_vec","Twr2_40m_WD_inc","Twr2_20m_U","Twr2_20m_V","Twr2_20m_W","Twr2_20m_T","Twr2_20m_st_code","Twr2_20m_status","Twr2_20m_WS_hor","Twr2_20m_WD_hor","Twr2_20m_WS_vec","Twr2_20m_WD_inc","Twr2_10m_U","Twr2_10m_V","Twr2_10m_W","Twr2_10m_T","Twr2_10m_st_code","Twr2_10m_status","Twr2_10m_WS_hor","Twr2_10m_WD_hor","Twr2_10m_WS_vec","Twr2_10m_WD_inc","Twr3_Box_H","Twr3_Box_T","Twr3_Box_RHT_status","Twr3_80m_U","Twr3_80m_V","Twr3_80m_W","Twr3_80m_T","Twr3_80m_st_code","Twr3_80m_status","Twr3_80m_WS_hor","Twr3_80m_WD_hor","Twr3_80m_WS_vec","Twr3_80m_WD_inc","Twr3_60m_U","Twr3_60m_V","Twr3_60m_W","Twr3_60m_T","Twr3_60m_st_code","Twr3_60m_status","Twr3_60m_WS_hor","Twr3_60m_WD_hor","Twr3_60m_WS_vec","Twr3_60m_WD_inc","Twr3_40m_U","Twr3_40m_V","Twr3_40m_W","Twr3_40m_T","Twr3_40m_st_code","Twr3_40m_status","Twr3_40m_WS_hor","Twr3_40m_WD_hor","Twr3_40m_WS_vec","Twr3_40m_WD_inc","Twr3_20m_U","Twr3_20m_V","Twr3_20m_W","Twr3_20m_T","Twr3_20m_st_code","Twr3_20m_status","Twr3_20m_WS_hor","Twr3_20m_WD_hor","Twr3_20m_WS_vec","Twr3_20m_WD_inc","Twr3_10m_U","Twr3_10m_V","Twr3_10m_W","Twr3_10m_T","Twr3_10m_st_code","Twr3_10m_status","Twr3_10m_WS_hor","Twr3_10m_WD_hor","Twr3_10m_WS_vec","Twr3_10m_WD_inc","Twr6_Box_H","Twr6_Box_T","Twr6_Box_RHT_status","Twr6_60m_SX","Twr6_60m_SY","Twr6_60m_SZ","Twr6_60m_St","Twr6_60m_status","Twr6_60m_WS_hor","Twr6_60m_WD_hor","Twr6_60m_WS_vec","Twr6_60m_WD_inc","Twr6_40m_SX","Twr6_40m_SY","Twr6_40m_SZ","Twr6_40m_St","Twr6_40m_status","Twr6_40m_WS_hor","Twr6_40m_WD_hor","Twr6_40m_WS_vec","Twr6_40m_WD_inc","Twr6_20m_SX","Twr6_20m_SY","Twr6_20m_SZ","Twr6_20m_St","Twr6_20m_status","Twr6_20m_WS_hor","Twr6_20m_WD_hor","Twr6_20m_WS_vec","Twr6_20m_WD_inc","Twr6_10m_SX","Twr6_10m_SY","Twr6_10m_SZ","Twr6_10m_St","Twr6_10m_status","Twr6_10m_WS_hor","Twr6_10m_WD_hor","Twr6_10m_WS_vec","Twr6_10m_WD_inc","Twr7_Box_H","Twr7_Box_T","Twr7_Box_RHT_status","Twr7_80m_U","Twr7_80m_V","Twr7_80m_W","Twr7_80m_T","Twr7_80m_st_code","Twr7_80m_status","Twr7_80m_WS_hor","Twr7_80m_WD_hor","Twr7_80m_WS_vec","Twr7_80m_WD_inc","Twr7_60m_U","Twr7_60m_V","Twr7_60m_W","Twr7_60m_T","Twr7_60m_st_code","Twr7_60m_status","Twr7_60m_WS_hor","Twr7_60m_WD_hor","Twr7_60m_WS_vec","Twr7_60m_WD_inc","Twr7_40m_U","Twr7_40m_V","Twr7_40m_W","Twr7_40m_T","Twr7_40m_st_code","Twr7_40m_status","Twr7_40m_WS_hor","Twr7_40m_WD_hor","Twr7_40m_WS_vec","Twr7_40m_WD_inc","Twr7_20m_U","Twr7_20m_V","Twr7_20m_W","Twr7_20m_T","Twr7_20m_st_code","Twr7_20m_status","Twr7_20m_WS_hor","Twr7_20m_WD_hor","Twr7_20m_WS_vec","Twr7_20m_WD_inc","Twr7_10m_U","Twr7_10m_V","Twr7_10m_W","Twr7_10m_T","Twr7_10m_st_code","Twr7_10m_status","Twr7_10m_WS_hor","Twr7_10m_WD_hor","Twr7_10m_WS_vec","Twr7_10m_WD_inc"
201809300100,1,4.60463,29.5,32490.6,38.0442,18.3923,3.83185,40.5013,23.9569,3.83852,1.55471,-1.07739,0.0227657,17.9849,0,0.111852,1.90304,286.263,1.90712,0.636691,1.72911,-1.06515,0.0184861,16.6925,0,0.111852,2.04552,286.144,2.04964,0.484146,1.63703,-0.461333,0.00441852,17.7552,0,0.111852,1.73948,268.585,1.74991,0.346515,1.0013,0.465851,-0.01205,16.0071,0,0.111852,1.13894,234.618,1.15279,-0.212187,0.377063,0.162543,0.00524815,17.2486,0,0.111852,0.493071,244.11,0.510086,1.2592,39.0501,17.4061,3.83148,1.33447,0.536733,-0.0667185,15.6231,0,0.112315,1.45979,271.242,1.4747,-2.60938,1.29601,0.475359,-0.032488,16.5343,0,0.111852,1.40362,272.226,1.41293,-1.49196,1.43539,0.401124,-0.0471944,16.5727,0,0.111852,1.51059,276.711,1.51637,-2.00181,1.27779,-0.0482935,-0.0657704,16.4524,0,0.111852,1.31031,301.08,1.31747,-3.00144,1.0285,-0.439589,-0.146934,16.4857,0,0.111852,1.17171,325.443,1.19074,-7.10488,40.3222,17.2584,3.82889,0.626541,0.476295,-0.0592843,13.0639,0.116759,0.901598,112.733,0.958843,-4.28106,0.634959,0.142477,-0.0323917,14.0109,0.120278,0.714013,86.0811,0.726597,-2.21052,0.343871,0.145665,-0.0194537,13.9358,0.120648,0.525876,97.9973,0.545217,-0.847668,0.036488,0.381936,-0.0822972,14.5485,0.118519,0.496832,169.758,0.539924,-12.5496,53.5964,17.3,3.82778,1.4979,0.105038,-0.234847,16.3485,0,0.111852,1.53508,255.313,1.56355,-8.83464,1.47566,0.165893,-0.190892,16.7468,0,0.111944,1.5106,257.833,1.53133,-7.07974,1.50186,0.120549,-0.101484,16.443,0,0.111852,1.53627,263.147,1.54446,-3.55079,1.74641,0.127435,-0.10336,17.4563,0,0.111852,1.76095,262.494,1.76521,-3.36394,1.74831,0.220547,-0.038788,15.1702,0,0.112315,1.76605,260.227,1.76693,-1.24344
201809300110,1,14.6053,29.496,32662.6,38.019,18.2742,3.83185,39.842,23.9373,3.83852,1.43395,-0.899607,-0.0333306,17.7813,0,0.111852,1.70403,283.301,1.71152,-1.12834,1.24564,-0.623817,-0.035563,16.4619,0,0.111944,1.41139,280.48,1.42404,-1.35816,0.752257,-0.0926333,-0.0170778,17.6329,0,0.111944,0.828348,259.442,0.844319,-1.58561,-0.288647,0.0428907,-0.00614259,15.5086,0,0.111852,0.549536,101.448,0.560464,0.562725,-0.950782,-0.245745,-0.0178435,16.1603,0,0.111944,1.00927,68.9677,1.01529,-1.78711,39.0985,17.3159,3.83111,1.01447,0.523585,0.146239,15.5761,0,0.111944,1.15805,265.272,1.19145,5.55498,0.774595,0.324521,0.0425556,16.4355,0,0.111852,0.895054,265.151,0.91945,1.35676,0.862941,0.013275,-0.0134259,16.4773,0,0.111852,0.906223,292.305,0.924074,-2.40528,0.858626,-0.324288,-0.0903713,16.3819,0,0.111944,0.953593,318.397,0.971762,-5.43675,0.644657,-0.671173,-0.20611,16.4381,0,0.111944,0.985848,347.998,1.02213,-11.7898,40.5108,17.0274,3.82889,0.843751,0.0987602,-0.0334306,13.0149,0.115741,0.86591,77.4438,0.876123,-1.73768,0.806172,0.133928,-0.0148556,14.0849,0.116204,0.839019,85.7148,0.849302,-1.24914,0.380896,0.473802,-0.0694019,14.056,0.116389,0.660912,133.372,0.677317,-6.36975,-0.068712,0.85216,-0.198935,14.6358,0.116389,0.904247,177.87,0.936586,-12.8068,53.3694,17.2996,3.82815,1.07946,-0.517874,-0.00716852,16.3409,0,0.111852,1.20724,285.045,1.2137,-0.458242,1.16092,-0.52592,-0.0217389,16.5612,0,0.111852,1.29995,288.491,1.30402,-0.953151,1.33629,-0.242929,0.021737,16.0891,0,0.111852,1.42321,276.93,1.42766,0.942104,1.36871,0.222907,0.0274537,16.769,0,0.111944,1.42655,255.329,1.43524,1.39014,0.919868,-0.0804954,0.031263,14.4421,0,0.112407,1.05285,279.862,1.06143,2.4305
201809300120,1,24.6047,29.5036,32840.6,38.8913,17.8138,3.83148,40.5934,23.3573,3.83778,1.34888,-0.89695,-0.0573546,17.7664,0,0.111944,1.6295,285.456,1.63517,-1.87663,0.939291,-0.63785,-0.0115306,16.4176,0,0.111852,1.15909,291.241,1.17197,2.16008,0.232135,0.12927,0.0295731,17.4688,0,0.111852,0.775639,236.281,0.788113,4.51909,-1.01422,-0.125763,-0.0176361,15.0227,0,0.111944,1.08176,80.154,1.08563,-1.07191,-1.37092,-0.202312,-0.0386306,16.096,0,0.111852,1.39894,75.8813,1.40325,-1.64376,39.1847,17.1126,3.83111,0.379486,0.326373,-0.0622324,15.8659,0,0.112315,0.569721,257.913,0.586072,-7.06301,0.342482,0.209588,-0.0625759,16.8392,0,0.111852,0.474406,271.412,0.496156,-10.4074,0.418084,-0.478331,-0.208882,16.6869,0,0.112407,0.718348,342.629,0.765552,-16.8645,0.470172,-0.782571,-0.243744,16.5481,0,0.112315,0.976053,355.887,1.01678,-14.5467,0.489484,-1.24369,-0.394805,16.5583,0,0.111852,1.37637,9.02257,1.44021,-16.1137,40.5988,16.7768,3.82889,0.391389,-0.238717,-0.0404287,13.0817,0.116574,0.509042,36.6179,0.523376,-5.15009,0.120647,-0.00266852,-0.0770315,14.1725,0.115556,0.293744,33.4923,0.314727,-17.1104,-0.153143,0.588772,-0.165509,14.1128,0.116296,0.677139,183.307,0.703716,-14.0957,-0.312073,0.749183,-0.244415,14.7915,0.118426,0.853909,193.401,0.897554,-16.3379,53.3114,17.1761,3.82778,0.989968,-0.879093,-0.0720861,16.2154,0,0.112315,1.33398,301.137,1.338,-3.16686,1.22949,-0.630969,-0.0445935,16.3244,0,0.111852,1.42815,290.405,1.43211,-1.8001,1.49989,0.0420389,0.0163231,15.8723,0,0.111944,1.54911,264.92,1.55136,0.54281,0.305494,-0.378651,0.0111426,16.0251,0,0.111852,0.685267,302.824,0.693685,0.967624,-0.237408,-1.01156,0.0170231,13.7211,0,0.111852,1.11551,4.24353,1.12188,1.59441
201809300130,1,34.6046,29.5,33006.6,39.1073,17.5474,3.83111,41.8982,22.9364,3.83778,0.352163,-0.18643,0.0286824,17.353,0,0.111852,0.543581,290.444,0.565754,5.40931,-0.284356,0.147118,0.101888,15.941,0,0.111944,0.482284,122.013,0.509706,14.2436,-0.866233,-0.157032,0.0849167,16.5932,0,0.111852,1.09238,68.7609,1.10201,4.14299,-1.19894,-0.620998,0.0101417,14.4805,0,0.111852,1.38995,55.0289,1.39798,0.790862,-1.30024,-0.126782,0.0142269,16.1492,0,0.111852,1.34942,79.0356,1.35536,0.667393,39.3633,17.024,3.8313,0.407508,-0.224066,-0.171105,15.9806,0,0.112315,0.499739,327.471,0.537811,-20.839,0.310743,-0.328514,-0.250017,17.0096,0,0.112407,0.50366,342.553,0.569325,-26.7614,0.0988,-0.466363,-0.256092,17.0001,0,0.112315,0.557853,11.217,0.618966,-24.7571,0.201079,-0.838486,-0.30832,16.765,0,0.111852,0.908239,13.06,0.961315,-18.6418,0.21001,-1.27752,-0.405195,16.7578,0,0.111852,1.31746,21.194,1.38081,-17.1329,40.8089,16.5436,3.82852,-0.00421389,0.239246,-0.162307,13.3178,0.117963,0.34313,182.485,0.396575,-34.8977,-0.1551,0.221716,-0.204376,14.3592,0.116852,0.307752,203.474,0.393771,-38.2278,-0.510194,0.498925,-0.210296,14.3572,0.115648,0.727458,217.005,0.760979,-16.6562,-0.643222,0.77963,-0.308044,15.0035,0.117593,1.02067,214.9,1.06909,-17.0256,53.4824,16.927,3.82778,0.73956,-0.881953,0.155147,15.9572,0,0.111944,1.28609,305.678,1.30131,7.02611,0.984284,-0.572801,0.105057,16.1525,0,0.111852,1.27124,290.078,1.28085,4.91563,0.834335,-0.758383,0.13838,15.5957,0,0.111852,1.24811,312.238,1.26626,6.93754,-0.0693352,-1.46456,0.0594324,16.0065,0,0.111852,1.48394,358.405,1.48827,2.32217,-0.316721,-1.46784,0.010338,13.764,0,0.111852,1.51252,12.2925,1.51416,0.755819
201809300140,1,44.604,29.5012,33184.7,39.1226,17.3745,3.83111,42.2786,22.8293,3.83778,-0.333875,0.592592,0.0143815,16.7398,0,0.111852,0.711787,133.502,0.722541,0.630765,-0.594259,0.0806204,0.00410741,15.4814,0,0.111852,0.619948,81.6521,0.628417,0.522597,-0.527758,-0.445524,0.0214463,16.6108,0,0.111852,0.70254,34.5435,0.708753,1.69987,-0.803975,0.136677,0.0235732,14.7429,0,0.111852,0.834551,89.8892,0.84496,1.62845,-0.801272,0.450203,0.049313,16.3336,0,0.111852,0.949765,112.528,0.961362,2.87273,39.4474,16.8974,3.83111,0.291616,0.265117,-0.0363074,16.0247,0,0.112407,0.451614,251.736,0.464721,-2.4631,0.251994,0.161717,-0.0124232,17.0293,0,0.112315,0.345958,257.549,0.351334,0.138858,0.302115,0.10431,-0.0496083,17.0887,0,0.111852,0.375916,271.46,0.389708,-6.14821,0.362924,-0.204424,-0.0461676,16.974,0,0.111852,0.472443,323.673,0.493564,-8.89,0.490589,-0.719323,-0.246943,16.881,0,0.111852,0.914088,355.529,0.959104,-15.2034,40.8662,16.4507,3.8287,-0.106729,1.67973,-0.220019,13.8762,0.113982,1.69535,164.624,1.71521,-7.31551,-0.0786731,1.69009,-0.302707,14.9208,0.117222,1.70858,167.383,1.7388,-10.2401,-0.142386,1.61498,-0.398611,14.8398,0.114074,1.6384,176.559,1.68872,-13.9256,-0.348882,1.53759,-0.40328,15.3812,0.114444,1.59532,188.042,1.64829,-14.323,53.6252,16.7434,3.82778,0.67678,0.54801,-0.0142111,15.6449,0,0.111852,0.933001,218.991,0.946649,-0.691628,-0.0129333,0.292558,0.00138704,15.703,0,0.111944,0.40053,169.796,0.460384,4.44522,-0.165731,-0.402132,-0.0538732,15.3474,0,0.112315,0.496781,20.5716,0.516785,-7.93791,-0.0226509,-0.742554,-0.00291111,16.1378,0,0.111944,0.764063,358.209,0.770112,-0.157891,-0.178181,-0.233093,-0.0111991,13.8927,0,0.111944,0.440976,33.9052,0.454409,0.989259
201809300150,1.01046,53.9762,29.498,32586,39.1705,17.161,3.83074,41.8731,22.5662,3.83741,-0.34544,0.319623,0.0297435,16.9756,0,0.111944,0.532107,126.471,0.542493,4.58171,-0.599019,0.169884,0.0452611,15.5817,0,0.111852,0.634975,89.4683,0.643316,4.33497,-0.514652,-0.0311046,0.0437028,16.6575,0,0.111944,0.542586,67.3217,0.549718,4.1594,-0.653977,0.446127,0.0615167,15.019,0,0.111944,0.821483,113.772,0.828654,4.46511,-0.576742,0.803224,0.0235926,16.1514,0,0.111944,0.999891,137.907,1.00877,1.73755,39.2544,16.8969,3.83111,0.686802,-0.340116,-0.0129287,16.0643,0,0.111852,0.809072,319.265,0.850385,0.958846,0.495105,-0.216403,-0.0478768,17.045,0,0.112315,0.644725,314.75,0.702593,-2.55374,0.358258,-0.218265,-0.134009,16.8208,0,0.112315,0.577974,317.146,0.68544,-14.3118,0.214807,-0.150127,-0.0453093,16.4522,0,0.112315,0.589839,335.861,0.683676,-4.82583,0.278289,-0.257767,-0.103744,16.3258,0,0.112407,0.606,357.713,0.663041,-12.5668,40.7992,16.3209,3.82815,-0.37312,1.61258,0.011937,13.9791,0.116111,1.68889,173.994,1.6987,0.742125,-0.448461,1.82812,-0.249371,14.975,0.116759,1.89211,179.078,1.91359,-7.39901,-0.615381,1.97796,-0.494796,14.8096,0.115648,2.0862,188.62,2.14693,-13.3049,-0.726092,1.66667,-0.504815,15.2976,0.119167,1.82817,198.451,1.90084,-15.3869,53.9193,16.5094,3.82778,0.813368,0.314665,-0.0673676,15.9222,0,0.111852,0.906304,239.466,0.918649,-4.30067,0.245029,0.0442352,-0.022038,15.8967,0,0.111852,0.301144,255.472,0.317594,-4.07141,-0.00693056,-0.460319,-0.0115676,15.4249,0,0.111852,0.48052,359.588,0.490022,-1.30356,-0.189601,0.042313,0.0134981,15.9539,0,0.111852,0.504526,101.423,0.522529,-0.691977,-0.603722,0.901263,0.0242268,13.5503,0,0.112315,1.10655,136.923,1.11254,1.12461
201809300200,2,4.60463,29.5,32418.2,39.0737,16.8492,3.83074,41.2778,22.1316,3.83741,-0.206457,0.355981,0.0492148,17.0118,0,0.111852,0.481698,135.38,0.491747,4.44294,-0.59785,-0.0163898,0.0429768,15.5874,0,0.111944,0.610193,73.6721,0.61539,4.20769,-0.572244,0.107005,0.0581,16.6633,0,0.111852,0.590024,83.5108,0.59711,5.71455,-0.565073,0.394874,0.0415713,14.7405,0,0.111852,0.710329,114.607,0.719208,3.62596,-1.4253,0.218492,0.00197593,15.3784,0,0.111852,1.51557,96.6902,1.52163,0.554856,39.1011,16.8819,3.83111,0.483775,-0.609185,0.0917519,15.8303,0,0.111852,0.864516,343.852,0.916364,4.94173,0.124793,-0.35007,0.222512,16.4433,0,0.112315,0.611949,8.76489,0.74302,20.805,-0.127234,0.111179,0.241361,16.1621,0,0.111944,0.509223,162.651,0.629024,25.662,-0.263593,0.276264,0.0925185,15.9442,0,0.111944,0.711594,180.235,0.763749,9.96334,0.00589444,0.0843528,0.0345435,15.8523,0,0.112315,0.681114,235.815,0.723227,2.11823,40.6468,16.2994,3.82852,0.342086,1.35292,-0.112662,13.9076,0.11963,1.68837,140.446,1.72223,-4.34693,-0.225119,1.4612,-0.239213,14.9739,0.113982,1.59524,168.518,1.65372,-10.2453,-0.811552,2.11516,-0.490592,14.8309,0.118333,2.282,192.509,2.34458,-12.4031,-1.00352,2.14832,-0.635222,15.2924,0.113611,2.3789,199.876,2.46558,-15.0876,55.1903,16.1012,3.82704,0.339175,-0.0247167,-0.00254907,15.957,0,0.111852,0.484566,271.948,0.504362,0.175145,0.0928426,0.276033,0.000766667,16.017,0,0.111944,0.368519,188.928,0.379151,2.22607,-0.23414,-0.0873074,-0.0343528,15.5577,0,0.112407,0.34543,59.2477,0.354617,-8.60245,-0.348805,0.169051,0.00606296,16.2957,0,0.111852,0.430247,108.84,0.442727,-0.771977,-0.92873,1.07846,0.0342046,13.5906,0,0.111852,1.4331,137.111,1.43722,1.23917
201809300210,2,14.6046,29.5,32590.3,39.7018,16.2479,3.83037,42.1596,21.4051,3.8363,-0.703508,0.185379,0.0162065,16.7955,0,0.111852,0.745091,87.2541,0.750638,0.548017,-0.979853,0.20412,0.032888,15.5896,0,0.111852,1.00499,85.7206,1.00752,1.35364,-0.969466,0.402483,0.0463139,16.6061,0,0.111852,1.06103,96.7057,1.06476,2.28256,-0.885472,0.584256,0.0287148,14.602,0,0.111852,1.12098,118.688,1.12764,1.68643,-1.65484,0.389225,-0.00958056,15.7105,0,0.111852,1.71083,97.4849,1.71467,-0.419278,39.1393,16.8101,3.83074,0.224491,-0.991152,0.102215,15.9382,0,0.112407,1.11558,4.85259,1.17541,4.02394,0.0109157,-0.605187,0.0895037,16.3707,0,0.112407,0.774401,354.806,0.82492,2.83569,-0.457143,-0.0685,0.117887,15.9815,0,0.111852,0.921121,125.661,0.984294,9.27577,-0.688993,0.0432657,-0.0130065,15.6868,0,0.111852,0.872128,125.739,0.908437,-0.779548,-0.485241,-0.244582,-0.0562398,15.5586,0,0.111852,0.683646,94.6842,0.713665,-7.85167,40.4799,16.2987,3.82815,-0.381268,1.0321,-0.272665,13.7166,0.115741,1.24166,177.479,1.28945,-11.6878,-0.921232,1.26049,-0.46611,14.6982,0.118519,1.63187,198.334,1.71143,-16.955,-1.28578,1.37822,-0.531468,14.6183,0.116389,1.9204,215.022,2.00286,-16.2322,-1.09762,1.6787,-0.600492,15.1672,0.113982,2.02327,208.012,2.1139,-16.7115,55.2054,15.6067,3.82704,-0.146443,-0.233954,-0.0106537,15.8427,0,0.111852,0.300092,20.9443,0.3074,-1.40804,-0.446628,-0.241635,0.0481185,15.8926,0,0.111852,0.577762,62.9898,0.584733,6.4391,-0.65242,-0.207707,0.0648287,15.2071,0,0.112315,0.731718,67.7623,0.747555,4.77368,-1.4023,0.632947,0.0773157,15.6756,0,0.111944,1.56039,111.803,1.56863,2.49218,-2.05566,1.18548,0.0499898,13.3189,0,0.111944,2.39092,118.051,2.39398,1.24479
201809300220,2,24.6042,29.5011,32762.3,40.3225,15.8175,3.83,42.6429,20.9009,3.8363,-0.773058,0.683259,0.0494805,16.8979,0,0.111944,1.05816,113.042,1.06323,2.69327,-1.07306,0.735339,0.0735065,15.6458,0,0.111852,1.33666,107.965,1.34094,3.12603,-1.51559,0.938727,0.0560741,16.5046,0,0.111852,1.79276,104.458,1.79492,1.92148,-1.33581,0.677432,0.0542694,14.4528,0,0.111944,1.51511,108.212,1.51936,2.07267,-2.05176,0.325431,-0.0168972,15.0926,0,0.111944,2.1007,94.7295,2.10564,-0.362281,39.2254,16.7597,3.83111,-0.142907,-0.484711,0.577731,15.7671,0,0.111852,1.11011,18.2888,1.34749,30.8465,-0.143761,-0.602257,0.60017,16.677,0,0.111852,1.26663,24.1831,1.48312,27.7758,-0.316038,-0.568725,0.566584,16.5557,0,0.111852,1.23671,41.4389,1.42972,25.8518,-0.508774,-0.633322,0.117215,16.1957,0,0.112778,1.33532,61.0749,1.38548,5.35708,-0.454937,-0.529626,-0.120977,15.8288,0,0.112407,1.22003,70.8627,1.26816,-5.76915,40.3891,16.2651,3.82852,-0.274073,0.876594,-0.231926,13.7507,0.115741,0.945359,177.13,0.988199,-13.0956,-0.8448,1.26208,-0.437459,14.7013,0.118241,1.54175,197.882,1.60899,-16.3297,-1.47938,1.42105,-0.569395,14.5429,0.117315,2.07001,217.437,2.15022,-15.461,-1.35622,1.55656,-0.628968,14.995,0.118056,2.0708,215.907,2.16716,-16.9442,55.2843,15.0654,3.8263,-0.50001,-0.240152,0.063937,15.5904,0,0.111944,0.625496,49.7021,0.638123,5.60571,-0.834943,0.0524454,0.0722093,15.5905,0,0.112315,0.957865,78.8976,0.973191,4.6803,-1.49662,0.60229,0.0584232,14.9472,0,0.112778,1.63986,105.668,1.64789,2.08741,-2.2498,1.04758,0.134428,15.6451,0,0.112315,2.49462,111.311,2.5034,3.0019,-3.03482,1.59352,0.0922,13.2276,0,0.111944,3.43304,114.944,3.43758,1.45958
201809300230,2,34.6046,29.5,32934.4,40.493,15.4753,3.82963,43.3222,20.4328,3.83593,-0.300377,0.746025,0.0490065,17.2882,0,0.111852,0.818789,141.973,0.827956,2.22629,-0.303358,0.727364,0.0269935,15.7114,0,0.111944,0.839256,160.736,0.847022,-2.7875,-0.496844,0.677349,0.0570148,16.5564,0,0.111944,0.941346,130.071,0.961373,8.40112,-1.07713,0.544043,0.0335454,14.2366,0,0.111852,1.27648,109.336,1.28976,1.94034,-2.44386,0.200846,-0.0598222,15.0605,0,0.111852,2.46082,88.2641,2.46647,-1.32213,39.2383,16.6709,3.83074,-0.768121,0.633538,0.075237,15.1836,0,0.111852,1.05271,154.664,1.07965,3.949,-0.95027,0.520095,0.141487,15.9643,0,0.113241,1.13138,143.592,1.14805,7.08708,-1.10903,0.55362,0.134454,16.0039,0,0.111944,1.2665,139.998,1.28541,6.24778,-1.12105,0.0523843,-0.025625,16.1088,0,0.111852,1.15287,121.454,1.16065,-1.41198,-1.0401,-0.446538,-0.17028,15.9727,0,0.112315,1.18164,98.6298,1.20662,-8.552,40.3597,16.1951,3.82815,-0.325022,-0.0215593,0.114738,13.2751,0.116574,0.733612,234.562,0.812074,10.2557,-0.519625,0.143481,0.0494074,14.2104,0.116667,0.859202,238.964,0.906719,3.30352,-0.698664,0.310364,-0.0882667,13.9913,0.117963,1.09347,245.228,1.13783,-1.01673,-0.711171,0.409101,-0.158749,14.4771,0.118519,1.08541,247.068,1.12037,-4.98054,56.927,14.6526,3.82593,-0.600186,0.634398,0.0843898,15.4844,0,0.111852,0.952084,122.141,0.962668,6.18994,-1.02608,0.781894,0.0836583,15.6096,0,0.111944,1.31738,122.002,1.32329,3.42391,-1.18316,0.880719,0.0408074,15.158,0,0.111944,1.48416,122.764,1.48786,1.54439,-1.96054,1.36382,0.156972,15.7998,0,0.111944,2.40006,121.358,2.41093,3.6019,-2.85837,1.92235,0.136382,13.5015,0,0.111944,3.45337,121.316,3.45944,2.22387
